card_id,card_name,price,card_type_code,set,discard_action_code,scan_action_code,income_code
b_1.webp,观测室女座,2,2,basic,2,2,2
b_2.webp,高级导航系统,1,1,basic,0,2,2
b_3.webp,阿尔冈金射电天文台,1,0,basic,1,1,1
b_4.webp,大型离子对撞机实验,3,2,basic,2,2,0
b_5.webp,艾伦望远锐阵,2,0,basic,0,1,2
b_6.webp,阿塔卡马大型亳米波阵,2,0,basic,2,0,0
b_7.webp,业余天文学家,2,0,basic,0,3,1
b_8.webp,阿波罗1号任务,3,2,basic,1,2,1
b_9.webp,阿番西博天文台,3,0,basic,0,0,2
b_10.webp,小行星研究,0,1,basic,2,1,1
b_11.webp,飞掠小行星,0,1,basic,0,1,2
b_12.webp,超环面仪器,3,2,basic,0,1,0
b_13.webp,进入大气层,1,0,basic,2,2,0
b_14.webp,观测巴纳德星,2,3,basic,0,2,1
b_15.webp,观测老人增四,1,2,basic,2,2,1
b_16.webp,突破聆听,1,0,basic,0,0,0
b_17.webp,突破摄星,1,0,basic,0,2,0
b_18.webp,突破观察,1,0,basic,0,1,0
b_19.webp,加阜大氢谱线望远锐,1,2,basic,0,1,2
b_20.webp,卡纳维拉尔角太空军基地,1,1,basic,0,3,2
b_21.webp,卡西尼号探测器,3,2,basic,0,1,1
b_22.webp,钱愆拉空间天文台,2,2,basic,2,2,1
b_23.webp,太空清理计划,1,0,basic,0,0,0
b_24.webp,飞掠彗星,1,0,basic,0,0,1
b_25.webp,控制中心,1,1,basic,0,3,2
b_26.webp,康奈尔大学,1,1,basic,0,2,2
b_27.webp,日冕摄谱仪,1,0,basic,1,1,1
b_28.webp,深度巡天阵列,2,0,basic,2,2,1
b_29.webp,蜻蜓号,1,0,basic,2,2,0
b_30.webp,深部地下中微子实验,3,3,basic,0,1,0
b_31.webp,建造埃菲尔斯贝格望远锐,3,0,basic,0,2,1
b_32.webp,电子显微锐,1,0,basic,1,0,2
b_33.webp,建造欧几里得望远锐,3,3,basic,0,2,2
b_34.webp,木卫二快船,2,3,basic,0,3,0
b_35.webp,百亿亿次超级计算机,1,0,basic,1,2,0
b_36.webp,嗜极生物研究,2,0,basic,1,3,0
b_37.webp,猎鹰虿型运戟火箭,3,0,basic,2,0,0
b_38.webp,造500米口径球面射电望远锐,4,0,basic,2,3,0
b_39.webp,首张罴洞照片,2,1,basic,2,1,1
b_40.webp,专项研究,3,0,basic,0,1,0
b_41.webp,建造燃料箱,1,0,basic,1,2,2
b_42.webp,聚娈反应堆,3,0,basic,0,1,1
b_43.webp,未来环形对撞机,4,0,basic,2,0,1
b_44.webp,伽利略号任务,0,1,basic,2,1,2
b_45.webp,巨麦哲伦望远镜,1,3,basic,0,1,1
b_46.webp,建造大型米波射电望远锐,3,2,basic,0,0,2
b_47.webp,政府资助,3,0,basic,0,0,0
b_48.webp,拨款,1,0,basic,0,0,1
b_49.webp,引力弹弓,1,0,basic,0,0,0
b_50.webp,大型轨遒天文台计划,2,0,basic,2,0,2
b_51.webp,绿岸射电望远锐,2,2,basic,2,3,0
b_52.webp,隼鸟号,1,0,basic,2,3,2
b_53.webp,赫歇尔空间天文台,1,2,basic,2,1,2
b_54.webp,哈勃空间望远锐,1,0,basic,0,1,2
b_55.webp,国际合作,2,0,basic,2,0,2
b_56.webp,离子推迸系统,3,0,basic,0,1,2
b_57.webp,国际空间站,2,1,basic,1,1,0
b_58.webp,韦布空间望远锐,2,0,basic,0,0,1
b_59.webp,约翰逊空间中心,1,1,basic,1,0,1
b_60.webp,朱诺号探测器,3,2,basic,1,1,1
b_61.webp,木星探测计划,2,2,basic,0,2,0
b_62.webp,飞掠木星,1,0,basic,0,2,1
b_63.webp,观测开普勒22,2,3,basic,0,1,0
b_64.webp,开普勒空间望远锐,2,0,basic,0,2,0
b_65.webp,大型强子对撞机,3,0,basic,2,3,1
b_66.webp,光帆,2,0,basic,0,1,0
b_67.webp,语言学分析,2,2,basic,1,2,0
b_68.webp,洛弗尔望远锐,3,2,basic,2,1,1
b_69.webp,低成本航天发射,1,0,basic,0,0,1
b_70.webp,低功耗微处理器,3,0,basic,1,0,2
b_71.webp,水手10号任务,0,1,basic,2,2,0
b_72.webp,火星探测计划,2,2,basic,2,2,2
b_73.webp,飞掠火星,1,0,basic,1,0,1
b_74.webp,火星科学实验室,2,3,basic,2,1,0
b_75.webp,水星探测计划,2,2,basic,0,0,0
b_76.webp,飞掠水星,1,0,basic,0,1,1
b_77.webp,信使号探测器,3,2,basic,0,0,2
b_78.webp,NASA天体生物学研究所,1,1,basic,0,0,2
b_79.webp,NASA每日-圈,3,0,basic,1,2,2
b_80.webp,NASA研究中心,1,1,basic,2,2,2
b_81.webp,近地小行星研究,2,2,basic,1,0,1
b_82.webp,NEAR 舒梅克号探测器,1,3,basic,1,0,0
b_83.webp,NASA创新先迸概念计划,2,2,basic,0,2,0
b_84.webp,诺托射电天文台,2,0,basic,2,2,1
b_85.webp,ODINUS号任务,3,2,basic,1,3,1
b_86.webp,ala Telescope Constructior,3,3,basic,1,1,0
b_87.webp,最佳发射窗口,2,0,basic,1,1,2
b_88.webp,入轨拉格朗日点,1,0,basic,2,3,0
b_89.webp,奥西里斯- REx号,1,0,basic,2,0,1
b_90.webp,帕克斯天文台,2,0,basic,2,0,2
b_91.webp,毅力号火星车,1,0,basic,0,2,2
b_92.webp,先驱者11号任务,0,0,basic,2,0,1
b_93.webp,X射线岩石化学探测行屋仪,3,1,basic,1,2,1
b_94.webp,行星猎手,1,0,basic,0,1,1
b_95.webp,行星地质测绘,3,2,basic,0,0,1
b_96.webp,柏拉图探测器,1,0,basic,1,0,0
b_97.webp,科学普及,2,1,basic,1,1,0
b_98.webp,发射前试验,2,0,basic,0,0,2
b_99.webp,新闻发言,1,0,basic,1,1,0
b_100.webp,观测南河,2,3,basic,0,0,2
b_101.webp,"""远射""计划",3,2,basic,2,0,2
b_102.webp,观测比邻星,2,2,basic,2,0,0
b_103.webp,量子计算机,3,2,basic,0,3,2
b_104.webp,罗曼空间望远锐,3,2,basic,0,1,1
b_105.webp,罗盎塔号探测器,2,2,basic,0,2,1
b_106.webp,采样返回,1,0,basic,0,2,1
b_107.webp,土星探测计划,2,2,basic,0,2,2
b_108.webp,飞掠土星,2,0,basic,1,1,2
b_109.webp,科学合作,3,0,basic,1,2,1
b_110.webp,SETI数据档案,1,0,basic,0,3,1
b_111.webp,SETI研究所,2,1,basic,1,1,1
b_112.webp,SETI@Home,1,0,basic,1,3,0
b_113.webp,夏洛克光谱仪,3,3,basic,2,2,1
b_114.webp,观测天狼星A,2,2,basic,2,1,1
b_115.webp,案尔维会议,2,3,basic,1,2,2
b_116.webp,太空发射系统,2,2,basic,1,0,2
b_117.webp,航天飞机,3,2,basic,2,3,2
b_118.webp,平方公里阵,3,0,basic,0,2,0
b_119.webp,星舰,4,0,basic,0,1,0
b_120.webp,战略规划,1,1,basic,2,0,0
b_121.webp,水熊虫研究,2,2,basic,2,0,1
b_122.webp,望远锐现代化,1,1,basic,1,1,0
b_123.webp,望远锐时间分配,2,1,basic,0,0,1
b_124.webp,穿越小行星带,1,0,basic,1,2,2
b_125.webp,轨遒修正,1,0,basic,1,2,2
b_126.webp,三叉戟号探测器,2,2,basic,0,2,2
b_127.webp,天王星轨遒器与探测器,2,2,basic,0,1,0
b_128.webp,观测织女星,1,3,basic,0,1,0
b_129.webp,金星号探测器,3,2,basic,2,2,0
b_130.webp,金星探测计划,2,2,basic,2,1,1
b_131.webp,飞掠金星,1,0,basic,0,0,0
b_132.webp,甚高能辐射成像望远锐,2,0,basic,2,1,0
b_133.webp,甚大阵,2,0,basic,0,0,1
b_134.webp,旅行者2号任务,0,1,basic,2,0,2
b_135.webp,韦断特v克综合孔径射电|远锐,3,2,basic,1,0,1
b_136.webp,Wow!讯号,2,0,basic,2,2,1
b_137.webp,建造叶夫帕托里亚望远锐,3,0,basic,2,2,2
b_138.webp,月球门户空间站,3,1,basic,0,1,2
b_139.webp,自2006 年起不再是行星,0,0,basic,2,1,2
b_140.webp,火星轨遒门户,1,1,basic,1,2,0
dlc_1.png,可重复使用着陆器,1,0,space-agency,0,1,0
dlc_2.png,跟踪与数据中继卫星,1,0,space-agency,1,1,2
dlc_3.png,NASA深空网络,2,0,space-agency,0,3,1
dlc_4.png,突破讯息,1,0,space-agency,0,3,0
dlc_5.png,维护任务,1,0,space-agency,0,2,0
dlc_6.png,现场着陆直播,2,0,space-agency,0,2,2
dlc_7.png,双探测器,3,2,space-agency,0,1,1
dlc_8.png,量子数据存储,3,3,space-agency,0,0,1
dlc_9.png,月坑射电望远镜,3,2,space-agency,1,2,2
dlc_10.png,太空第一人,4,3,space-agency,2,1,1
dlc_11.png,八灵神星探测器,3,2,space-agency,1,1,2
dlc_12.png,双行星飞越机动,1,0,space-agency,1,0,0
dlc_13.png,詹姆斯·克拉克·麦克斯韦望远镜,2,0,space-agency,2,0,2
dlc_14.png,可重复使用火箭,2,0,space-agency,1,2,1
dlc_15.png,迭代工程,3,0,space-agency,1,2,0
dlc_16.png,宇航员训练体验,2,2,space-agency,2,2,0
dlc_17.png,付费媒体报道,0,0,space-agency,1,0,0
dlc_18.png,合同研究,2,0,space-agency,1,1,0
dlc_19.png,凌日系外行星巡天卫星,0,0,space-agency,0,0,1
dlc_20.png,完美执行的项目,1,0,space-agency,2,1,2
dlc_21.png,轨道加注,0,1,space-agency,1,2,2
dlc_22.png,新任务,0,0,space-agency,0,0,0
